"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~4세","2023년10월_계_5~9세","2023년10월_계_10~14세","2023년10월_계_15~19세","2023년10월_계_20~24세","2023년10월_계_25~29세","2023년10월_계_30~34세","2023년10월_계_35~39세","2023년10월_계_40~44세","2023년10월_계_45~49세","2023년10월_계_50~54세","2023년10월_계_55~59세","2023년10월_계_60~64세","2023년10월_계_65~69세","2023년10월_계_70~74세","2023년10월_계_75~79세","2023년10월_계_80~84세","2023년10월_계_85~89세","2023년10월_계_90~94세","2023년10월_계_95~99세","2023년10월_계_100세 이상","2023년10월_남_총인구수","2023년10월_남_연령구간인구수","2023년10월_남_0~4세","2023년10월_남_5~9세","2023년10월_남_10~14세","2023년10월_남_15~19세","2023년10월_남_20~24세","2023년10월_남_25~29세","2023년10월_남_30~34세","2023년10월_남_35~39세","2023년10월_남_40~44세","2023년10월_남_45~49세","2023년10월_남_50~54세","2023년10월_남_55~59세","2023년10월_남_60~64세","2023년10월_남_65~69세","2023년10월_남_70~74세","2023년10월_남_75~79세","2023년10월_남_80~84세","2023년10월_남_85~89세","2023년10월_남_90~94세","2023년10월_남_95~99세","2023년10월_남_100세 이상","2023년10월_여_총인구수","2023년10월_여_연령구간인구수","2023년10월_여_0~4세","2023년10월_여_5~9세","2023년10월_여_10~14세","2023년10월_여_15~19세","2023년10월_여_20~24세","2023년10월_여_25~29세","2023년10월_여_30~34세","2023년10월_여_35~39세","2023년10월_여_40~44세","2023년10월_여_45~49세","2023년10월_여_50~54세","2023년10월_여_55~59세","2023년10월_여_60~64세","2023년10월_여_65~69세","2023년10월_여_70~74세","2023년10월_여_75~79세","2023년10월_여_80~84세","2023년10월_여_85~89세","2023년10월_여_90~94세","2023년10월_여_95~99세","2023년10월_여_100세 이상"
"경상북도 경산시 (4729000000)","266,843","266,843","6,758","10,265","11,525","11,288","18,114","17,419","16,103","15,086","19,860","19,896","23,777","22,544","22,690","17,404","12,763","8,796","7,274","3,830","1,182","241","28","134,219","134,219","3,497","5,183","5,883","5,790","9,680","9,871","8,918","8,128","10,175","10,239","11,818","11,316","11,294","8,475","5,887","3,827","2,746","1,162","275","54","1","132,624","132,624","3,261","5,082","5,642","5,498","8,434","7,548","7,185","6,958","9,685","9,657","11,959","11,228","11,396","8,929","6,876","4,969","4,528","2,668","907","187","27"
"경상북도 의성군 (4773000000)","50,165","50,165","820","848","954","1,176","1,184","1,341","1,411","1,463","1,915","2,276","3,304","4,496","6,312","6,202","5,051","3,673","4,205","2,507","839","161","27","24,814","24,814","438","433","494","637","687","782","772","830","1,081","1,358","1,875","2,468","3,273","3,184","2,422","1,595","1,534","734","188","27","2","25,351","25,351","382","415","460","539","497","559","639","633","834","918","1,429","2,028","3,039","3,018","2,629","2,078","2,671","1,773","651","134","25"
"경상북도 청송군 (4775000000)","24,033","24,033","394","433","517","533","654","717","732","763","971","1,129","1,710","2,370","3,113","2,807","2,265","1,718","1,783","1,017","327","75","5","12,070","12,070","216","220","263","281","374","455","471","444","535","639","988","1,244","1,590","1,434","1,114","742","628","332","88","11","1","11,963","11,963","178","213","254","252","280","262","261","319","436","490","722","1,126","1,523","1,373","1,151","976","1,155","685","239","64","4"
"경상북도 영양군 (4776000000)","15,736","15,736","215","324","402","480","451","434","426","452","649","790","1,227","1,438","1,972","1,750","1,393","1,083","1,284","673","223","57","13","7,840","7,840","99","177","226","225","260","247","235","252","362","466","746","804","1,042","860","674","457","470","183","45","8","2","7,896","7,896","116","147","176","255","191","187","191","200","287","324","481","634","930","890","719","626","814","490","178","49","11"
"경상북도 영덕군 (4777000000)","34,154","34,154","517","723","933","959","928","1,030","955","1,014","1,523","1,784","2,593","3,100","3,913","3,671","3,132","2,424","2,791","1,530","519","101","14","16,276","16,276","260","342","490","497","551","598","534","504","811","951","1,475","1,637","1,965","1,786","1,441","935","925","441","122","11","0","17,878","17,878","257","381","443","462","377","432","421","510","712","833","1,118","1,463","1,948","1,885","1,691","1,489","1,866","1,089","397","90","14"
"경상북도 청도군 (4782000000)","41,386","41,386","533","702","974","1,159","1,123","1,134","1,130","1,201","1,901","2,060","3,045","3,818","5,388","4,810","4,286","2,703","2,771","1,832","674","126","16","20,506","20,506","267","365","494","593","654","646","623","645","1,008","1,206","1,640","2,008","2,813","2,478","2,077","1,262","1,021","548","138","20","0","20,880","20,880","266","337","480","566","469","488","507","556","893","854","1,405","1,810","2,575","2,332","2,209","1,441","1,750","1,284","536","106","16"
"경상북도 고령군 (4783000000)","30,190","30,190","456","636","823","958","1,019","1,018","914","958","1,520","1,767","2,562","2,966","3,822","3,147","2,562","1,781","1,778","1,079","342","74","8","15,532","15,532","224","343","419","537","604","582","506","528","831","982","1,488","1,641","2,069","1,665","1,284","795","617","324","73","20","0","14,658","14,658","232","293","404","421","415","436","408","430","689","785","1,074","1,325","1,753","1,482","1,278","986","1,161","755","269","54","8"
"경상북도 성주군 (4784000000)","42,207","42,207","794","757","1,019","1,116","1,204","1,415","1,457","1,508","1,941","2,270","3,242","4,352","5,817","4,624","3,852","2,491","2,300","1,412","509","112","15","22,070","22,070","407","384","499","631","740","871","845","844","1,096","1,379","1,909","2,342","3,114","2,526","1,913","1,154","891","390","116","15","4","20,137","20,137","387","373","520","485","464","544","612","664","845","891","1,333","2,010","2,703","2,098","1,939","1,337","1,409","1,022","393","97","11"
"경상북도 칠곡군 (4785000000)","110,951","110,951","2,336","4,667","5,582","5,403","5,141","5,148","5,408","6,650","9,727","10,045","10,912","9,853","9,383","6,906","4,660","3,355","3,200","1,780","632","143","20","58,163","58,163","1,158","2,421","2,896","2,887","3,068","3,009","2,995","3,597","5,269","5,382","5,944","5,347","5,064","3,564","2,293","1,465","1,088","536","152","27","1","52,788","52,788","1,178","2,246","2,686","2,516","2,073","2,139","2,413","3,053","4,458","4,663","4,968","4,506","4,319","3,342","2,367","1,890","2,112","1,244","480","116","19"
"경상북도 예천군 (4790000000)","55,450","55,450","1,720","2,280","2,618","2,064","1,802","2,011","2,329","2,761","3,649","3,503","3,690","4,033","5,085","4,966","3,866","2,855","3,202","2,178","671","149","18","27,292","27,292","870","1,137","1,343","1,075","1,060","1,093","1,189","1,440","1,786","1,866","2,071","2,110","2,607","2,489","1,845","1,291","1,184","663","145","27","1","28,158","28,158","850","1,143","1,275","989","742","918","1,140","1,321","1,863","1,637","1,619","1,923","2,478","2,477","2,021","1,564","2,018","1,515","526","122","17"
